,TestSponsor,SystemName,AutoParallel,EnabledCores,EnabledChips,Cores/Chips,Threads/Core,Base,Peak
0,ACTION S.A.,"ACTINA SOLAR E 110 X3 (Intel Xeon X3330, 2.66 GHz)",Yes,4,1,4,1,22.0,22.8
1,ACTION S.A.,"ACTINA SOLAR 220 S3 (Intel Xeon E5410, 2.33 GHz)",Yes,8,2,4,1,20.4,21.3
2,ACTION S.A.,ACTINA SOLAR 220 X3 (Intel Xeon X5650),Yes,12,2,6,2,51.3,53.4
3,ACTION S.A.,ACTINA SOLAR 210 X5 (Intel Xeon E5-2630),Yes,12,2,6,2,61.6,64.8
4,ACTION S.A.,ACTINA SOLAR 205 S5 (Intel Xeon E5-2420),Yes,12,2,6,2,49.1,51.6
5,ACTION S.A.,"ACTINA SOLAR E 110 S6 (Intel Xeon E3-1231 v3, 3.40 GHz)",Yes,4,1,4,2,73.2,75.3
6,ACTION S.A.,"ACTINA SOLAR 820 X6 (Intel Xeon E5-2680 v3, 2.50 GHz)",Yes,24,2,12,1,91.5,95.6
7,ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2683 v3, 2.00 GHz)",Yes,28,2,14,1,96.8,101.0
8,ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2680 v3, 2.50 GHz)",Yes,24,2,12,1,108.0,112.0
9,ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2683 v3, 2.00 GHz)",Yes,28,2,14,1,97.6,102.0
10,ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2670 v3, 2.30 GHz)",Yes,24,2,12,1,104.0,108.0
11,ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2660 v3, 2.60 GHz)",Yes,20,2,10,1,107.0,111.0
12,ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2680 v3, 2.50 GHz)",Yes,24,2,12,1,107.0,112.0
13,ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2670 v3, 2.30 GHz)",Yes,24,2,12,1,103.0,107.0
14,ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2660 v3, 2.60 GHz)",Yes,20,2,10,1,106.0,110.0
15,ACTION S.A.,"ACTINA SOLAR 210 X6 (Intel Xeon E5-2697 v3, 2.60 GHz)",Yes,28,2,14,1,108.0,113.0
16,ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2697 v3, 2.60 GHz)",Yes,28,2,14,1,108.0,113.0
