TestSponsor,SystemName,AutoParallel,EnabledCores,EnabledChips,Cores/Chips,Threads/Core,Base,Peak
ACTION S.A.,"ACTINA SOLAR E 110 X3 (Intel Xeon X3330, 2.66 GHz)",Yes,4,1,4,1,22.0&nbsp;,22.8&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 S3 (Intel Xeon E5410, 2.33 GHz)",Yes,8,2,4,1,20.4&nbsp;,21.3&nbsp;
ACTION S.A.,ACTINA SOLAR 220 X3 (Intel Xeon X5650),Yes,12,2,6,2,51.3&nbsp;,53.4&nbsp;
ACTION S.A.,ACTINA SOLAR 210 X5 (Intel Xeon E5-2630),Yes,12,2,6,2,61.6&nbsp;,64.8&nbsp;
ACTION S.A.,ACTINA SOLAR 205 S5 (Intel Xeon E5-2420),Yes,12,2,6,2,49.1&nbsp;,51.6&nbsp;
ACTION S.A.,"ACTINA SOLAR E 110 S6 (Intel Xeon E3-1231 v3, 3.40 GHz)",Yes,4,1,4,2,73.2&nbsp;,75.3&nbsp;
ACTION S.A.,"ACTINA SOLAR 820 X6 (Intel Xeon E5-2680 v3, 2.50 GHz)",Yes,24,2,12,1,91.5&nbsp;,95.6&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2683 v3, 2.00 GHz)",Yes,28,2,14,1,96.8&nbsp;,101&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2680 v3, 2.50 GHz)",Yes,24,2,12,1,108&nbsp;&nbsp;&nbsp;,112&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2683 v3, 2.00 GHz)",Yes,28,2,14,1,97.6&nbsp;,102&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2670 v3, 2.30 GHz)",Yes,24,2,12,1,104&nbsp;&nbsp;&nbsp;,108&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2660 v3, 2.60 GHz)",Yes,20,2,10,1,107&nbsp;&nbsp;&nbsp;,111&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2680 v3, 2.50 GHz)",Yes,24,2,12,1,107&nbsp;&nbsp;&nbsp;,112&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2670 v3, 2.30 GHz)",Yes,24,2,12,1,103&nbsp;&nbsp;&nbsp;,107&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2660 v3, 2.60 GHz)",Yes,20,2,10,1,106&nbsp;&nbsp;&nbsp;,110&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 210 X6 (Intel Xeon E5-2697 v3, 2.60 GHz)",Yes,28,2,14,1,108&nbsp;&nbsp;&nbsp;,113&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2697 v3, 2.60 GHz)",Yes,28,2,14,1,108&nbsp;&nbsp;&nbsp;,113&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2690 v3, 2.60 GHz)",Yes,24,2,12,1,111&nbsp;&nbsp;&nbsp;,115&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 202 S6 (Intel Xeon E5-2697 v3, 2.60 GHz)",Yes,28,2,14,1,109&nbsp;&nbsp;&nbsp;,114&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 210 X6 (Intel Xeon E5-2698 v3, 2.30 GHz)",Yes,32,2,16,1,104&nbsp;&nbsp;&nbsp;,110&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2698 v3, 2.30 GHz)",Yes,32,2,16,1,105&nbsp;&nbsp;&nbsp;,110&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2697 v3, 2.60 GHz)",Yes,28,2,14,1,109&nbsp;&nbsp;&nbsp;,114&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2698 v3, 2.30 GHz)",Yes,32,2,16,1,105&nbsp;&nbsp;&nbsp;,111&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 110 S6 (Intel Xeon E3-1220 v3, 3.10 GHz)",Yes,4,1,4,1,72.4&nbsp;,73.7&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2699 v3, 2.30 GHz)",Yes,36,2,18,1,104&nbsp;&nbsp;&nbsp;,110&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2699 v3, 2.30 GHz)",Yes,36,2,18,1,104&nbsp;&nbsp;&nbsp;,110&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 S6 (Intel Xeon E5-2637 v3, 3.50 GHz)",Yes,8,2,4,1,104&nbsp;&nbsp;&nbsp;,108&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2650 v4, 2.20 GHz)",Yes,24,2,12,1,107&nbsp;&nbsp;&nbsp;,112&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 210 X6 (Intel Xeon E5-2620 v4, 2.10 GHz)",Yes,16,2,8,1,98.8&nbsp;,105&nbsp;&nbsp;&nbsp;
