TestSponsor,SystemName,BaseCopies,EnabledCores,EnabledChips,Cores/Chips,Threads/Core,Base,Peak
ACTION S.A.,ACTINA SOLAR 410 S3,8,8,2,4,1,64.2&nbsp;,71.8&nbsp;
ACTION S.A.,ACTINA SOLAR 410 S3,8,8,2,4,1,75.0&nbsp;,84.4&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 S3 (Intel Xeon E5410, 2.33 GHz)",8,8,2,4,1,66.1&nbsp;,71.9&nbsp;
ACTION S.A.,"ACTINA SOLAR E 110 X3 (Intel Xeon X3330, 2.66 GHz)",4,4,1,4,1,45.4&nbsp;,Not Run&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 202 X2 (Intel Xeon E5405, 2.0 GHz)",8,8,2,4,1,54.1&nbsp;,55.9&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 X2 (Intel Xeon E5410, 2.0 GHz)",8,8,2,4,1,63.2&nbsp;,69.3&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 X2 (Intel Xeon E5405, 2.0 GHz)",8,8,2,4,1,59.7&nbsp;,64.8&nbsp;
ACTION S.A.,"ACTINA SOLAR 212 X2 (Intel Xeon E5410, 2.33 GHz)",4,4,1,4,1,36.9&nbsp;,Not Run&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 X2 (Intel Xeon E5410, 2.33 GHz)",4,4,1,4,1,36.9&nbsp;,Not Run&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 212 X2 (Intel Xeon E5420, 2.5 GHz)",8,8,2,4,1,65.0&nbsp;,70.9&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 X2 (Intel Xeon E5420, 2.5 GHz)",8,8,2,4,1,65.0&nbsp;,70.9&nbsp;
ACTION S.A.,"ACTINA SOLAR 200 X2 (Intel Xeon E5410, 2.33 GHz)",8,8,2,4,1,63.6&nbsp;,69.4&nbsp;
ACTION S.A.,"ACTINA SOLAR 202 X2 (Intel Xeon E5410, 2.33 GHz)",8,8,2,4,1,63.6&nbsp;,69.4&nbsp;
ACTION S.A.,ACTINA SOLAR 820 S4 (Intel Xeon E5520),16,8,2,4,2,152&nbsp;&nbsp;&nbsp;,158&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 820 S4 (Intel Xeon X5560),16,8,2,4,2,184&nbsp;&nbsp;&nbsp;,189&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 X3 (Intel Xeon E5504),4,4,1,4,1,57.1&nbsp;,Not Run&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 X3 (Intel Xeon E5504),8,8,2,4,1,111&nbsp;&nbsp;&nbsp;,Not Run&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 710 S4 (Intel Xeon E5520),16,8,2,4,2,153&nbsp;&nbsp;&nbsp;,158&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 710 S4 (Intel Xeon E5530),16,8,2,4,2,157&nbsp;&nbsp;&nbsp;,161&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 S4 (Intel Xeon E5506),8,8,2,4,1,114&nbsp;&nbsp;&nbsp;,119&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 S4 (Intel Xeon E5504),8,8,2,4,1,111&nbsp;&nbsp;&nbsp;,115&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 200 S2 (Intel Xeon E5405, 2.0 GHz)",8,8,2,4,1,61.8&nbsp;,67.1&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 S4 (Intel Xeon E5504, 2.0 GHz)",8,8,2,4,1,103&nbsp;&nbsp;&nbsp;,108&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 S4+ (Intel Xeon E5520),16,8,2,4,2,140&nbsp;&nbsp;&nbsp;,150&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 222 X3 (Intel Xeon E5520),16,8,2,4,2,153&nbsp;&nbsp;&nbsp;,159&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 210 X3 (Intel Xeon E5504),8,8,2,4,1,111&nbsp;&nbsp;&nbsp;,115&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 S4 (Intel Xeon E5520),16,8,2,4,2,150&nbsp;&nbsp;&nbsp;,155&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 S4 (Intel Xeon E5504),8,8,2,4,1,111&nbsp;&nbsp;&nbsp;,115&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 230 S4 (Intel Xeon E5520),16,8,2,4,2,140&nbsp;&nbsp;&nbsp;,149&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 212 X3 (Intel Xeon E5504),8,8,2,4,1,111&nbsp;&nbsp;&nbsp;,115&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 X3 (Intel Xeon E5520),16,8,2,4,2,153&nbsp;&nbsp;&nbsp;,158&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 X3 (Intel Xeon E5540),16,8,2,4,2,160&nbsp;&nbsp;&nbsp;,166&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 212 X3 (Intel Xeon E5520),16,8,2,4,2,152&nbsp;&nbsp;&nbsp;,157&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 S4 (Intel Xeon E5530),16,8,2,4,2,144&nbsp;&nbsp;&nbsp;,151&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 S4+ (Intel Xeon E5504),8,8,2,4,1,111&nbsp;&nbsp;&nbsp;,115&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 X3 (Intel Xeon E5504),8,8,2,4,1,111&nbsp;&nbsp;&nbsp;,115&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 210 X3 (Intel Xeon L5609),8,8,2,4,1,116&nbsp;&nbsp;&nbsp;,119&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 210 X3 (Intel Xeon E5620),16,8,2,4,2,163&nbsp;&nbsp;&nbsp;,163&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 210 X3 (Intel Xeon X5650),24,12,2,6,2,210&nbsp;&nbsp;&nbsp;,218&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 X3 (Intel Xeon L5640),12,6,1,6,2,96.3&nbsp;,99.4&nbsp;
ACTION S.A.,ACTINA SOLAR 200 X3 (Intel Xeon L5609),4,4,1,4,1,63.0&nbsp;,65.0&nbsp;
ACTION S.A.,ACTINA SOLAR 200 X3 (Intel Xeon L5609),8,8,2,4,1,116&nbsp;&nbsp;&nbsp;,120&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 X3 (Intel Xeon E5620),16,8,2,4,2,160&nbsp;&nbsp;&nbsp;,164&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 S4 (Intel Xeon E5620),16,8,2,4,2,152&nbsp;&nbsp;&nbsp;,156&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 S4 (Intel Xeon E5630),16,8,2,4,2,156&nbsp;&nbsp;&nbsp;,160&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 420 A2 (AMD Opteron 6174),48,48,4,12,1,569&nbsp;&nbsp;&nbsp;,616&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 402 A2 (AMD Opteron 6174),48,48,4,12,1,574&nbsp;&nbsp;&nbsp;,620&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 230 A2 (AMD Opteron 6174),24,24,2,12,1,288&nbsp;&nbsp;&nbsp;,313&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 A2 (AMD Opteron 6174),24,24,2,12,1,284&nbsp;&nbsp;&nbsp;,309&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 230 A2 (AMD Opteron 6172),24,24,2,12,1,277&nbsp;&nbsp;&nbsp;,301&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 232 A2 (AMD Opteron 6172),24,24,2,12,1,278&nbsp;&nbsp;&nbsp;,303&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 S4 (Intel Xeon X5650),24,12,2,6,2,237&nbsp;&nbsp;&nbsp;,244&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 230 S4 (Intel Xeon X5650),24,12,2,6,2,237&nbsp;&nbsp;&nbsp;,244&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 S4 (Intel Xeon X5680),24,12,2,6,2,256&nbsp;&nbsp;&nbsp;,262&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 232 S4 (Intel Xeon X5650),24,12,2,6,2,237&nbsp;&nbsp;&nbsp;,244&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 232 S4+ (Intel Xeon X5680),24,12,2,6,2,256&nbsp;&nbsp;&nbsp;,263&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 A2 (AMD Opteron 6180 SE),24,24,2,12,1,297&nbsp;&nbsp;&nbsp;,323&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 110 S5 (Intel Xeon E3-1240),8,4,1,4,2,109&nbsp;&nbsp;&nbsp;,111&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 410 A2 (AMD Opteron 6272),64,64,4,16,1,637&nbsp;&nbsp;&nbsp;,682&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 110 S5 (Intel Xeon E3-1220),4,4,1,4,1,105&nbsp;&nbsp;&nbsp;,107&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 100 S5 (Intel Xeon E3-1240),8,4,1,4,2,109&nbsp;&nbsp;&nbsp;,111&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 100 S5 (Intel Xeon E3-1220),4,4,1,4,1,103&nbsp;&nbsp;&nbsp;,106&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR E 220 S4 (Intel Xeon E5645),24,12,2,6,2,206&nbsp;&nbsp;&nbsp;,211&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 S4 (Intel Xeon E5645),24,12,2,6,2,212&nbsp;&nbsp;&nbsp;,213&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 S5 (Intel Xeon E5-2630L),24,12,2,6,2,311&nbsp;&nbsp;&nbsp;,321&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 S5 (Intel Xeon E5-2630L),24,12,2,6,2,313&nbsp;&nbsp;&nbsp;,322&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 X5 (Intel Xeon E5-2630L),24,12,2,6,2,313&nbsp;&nbsp;&nbsp;,322&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 420 S5 (Intel Xeon E5-2630L),24,12,2,6,2,313&nbsp;&nbsp;&nbsp;,322&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 X5 (Intel Xeon E5-2640),24,12,2,6,2,365&nbsp;&nbsp;&nbsp;,374&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 210 S5 (Intel Xeon E5-2630L),24,12,2,6,2,320&nbsp;&nbsp;&nbsp;,327&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 210 X5 (Intel Xeon E5-2640),24,12,2,6,2,365&nbsp;&nbsp;&nbsp;,372&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 X5 (Intel Xeon E5-2620),24,12,2,6,2,310&nbsp;&nbsp;&nbsp;,316&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 X5 (Intel Xeon E5-2640),24,12,2,6,2,365&nbsp;&nbsp;&nbsp;,373&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 820 S5 (Intel Xeon E5-2630L),24,12,2,6,2,326&nbsp;&nbsp;&nbsp;,333&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 820 X5 (Intel Xeon E5-2630L),24,12,2,6,2,326&nbsp;&nbsp;&nbsp;,332&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 X5 (Intel Xeon E5-2620),24,12,2,6,2,323&nbsp;&nbsp;&nbsp;,329&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 820 X5 (Intel Xeon E5-2640),24,12,2,6,2,365&nbsp;&nbsp;&nbsp;,374&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 205 S5 (Intel Xeon E5-2430),24,12,2,6,2,249&nbsp;&nbsp;&nbsp;,265&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 225 S5 (Intel Xeon E5-2430),24,12,2,6,2,252&nbsp;&nbsp;&nbsp;,268&nbsp;&nbsp;&nbsp;
