TestSponsor,SystemName,Parallel,BaseThreads,EnabledCores,EnabledChips,Threads/Core,Base,Peak,EnergyBase,EnergyPeak
ASRock Rack Inc.,"1U4LW-X570 RPSU AMD Ryzen 7 5800X,3.8GHz",Yes,8,8,1,2,46.1&nbsp;,47.5&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700-E9(Z11PP-D24) Server System (2.70 GHz, Intel Xeon Gold 6150)",Yes,36,36,2,1,116&nbsp;&nbsp;&nbsp;,117&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz, Intel Xeon Platinum 8176)",Yes,56,56,2,1,124&nbsp;&nbsp;&nbsp;,125&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS WS C621E SAGE Server System (2.50 GHz, Intel Xeon Platinum 8180)",Yes,56,56,2,1,134&nbsp;&nbsp;&nbsp;,136&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS WS C621E SAGE Server System (3.00 GHz, Intel Xeon Gold 6154)",Yes,36,36,2,1,122&nbsp;&nbsp;&nbsp;,123&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.70 GHz, Intel Xeon Gold 6150)",Yes,36,36,2,1,119&nbsp;&nbsp;&nbsp;,119&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz, Intel Xeon Platinum 8176)",Yes,56,56,2,1,126&nbsp;&nbsp;&nbsp;,127&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (3.50 GHz, Intel Xeon Gold 6144)",Yes,16,16,2,1,91.1&nbsp;,92.3&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz, Intel Xeon Gold 6148)",Yes,40,40,2,1,117&nbsp;&nbsp;&nbsp;,118&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (3.40 GHz, Intel Xeon Gold 6128)",Yes,24,12,2,2,76.6&nbsp;,77.3&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz, Intel Xeon Gold 6138)",Yes,40,40,2,1,112&nbsp;&nbsp;&nbsp;,112&nbsp;&nbsp;&nbsp;,--,--
