TestSponsor,SystemName,BaseCopies,EnabledCores,EnabledChips,Threads/Core,Base,Peak,EnergyBase,EnergyPeak
ASRock Rack Inc.,"1U4LW-X570 RPSU AMD Ryzen 7 5800X,3.8GHz",16,8,1,2,76.3&nbsp;,83.6&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS WS C621E SAGE Server System (3.00 GHz, Intel Xeon Gold 6154)",72,36,2,2,224&nbsp;&nbsp;&nbsp;,237&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700-E9(Z11PP-D24) Server System (2.70 GHz, Intel Xeon Gold 6150)",72,36,2,2,216&nbsp;&nbsp;&nbsp;,228&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz, Intel Xeon Platinum 8176)",112,56,2,2,273&nbsp;&nbsp;&nbsp;,291&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700-E9(Z11PP-D24) Server System (2.70 GHz, Intel Xeon Gold 6150)",72,36,2,2,213&nbsp;&nbsp;&nbsp;,223&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz, Intel Xeon Platinum 8176)",112,56,2,2,274&nbsp;&nbsp;&nbsp;,292&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS WS C621E SAGE Server System (2.50 GHz, Intel Xeon Platinum 8180)",112,56,2,2,303&nbsp;&nbsp;&nbsp;,326&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9(Z11PP-D24) Server System (2.20 GHz, AMD EPYC 7601)",128,64,2,2,281&nbsp;&nbsp;&nbsp;,310&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.70 GHz, Intel Xeon Gold 6150)",72,36,2,2,218&nbsp;&nbsp;&nbsp;,231&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz, Intel Xeon Platinum 8176)",112,56,2,2,277&nbsp;&nbsp;&nbsp;,296&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (3.50 GHz, Intel Xeon Gold 6144)",32,16,2,2,120&nbsp;&nbsp;&nbsp;,126&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS720Q-E9(Z11PH-D12) Server System (2.4 GHz, Intel Xeon Gold 6148)",80,40,2,2,221&nbsp;&nbsp;&nbsp;,236&nbsp;&nbsp;&nbsp;,--,--
