TestSponsor,SystemName,JVMName,JVMVersion,max-jOPS,critical-jOPS
ASUSTeK Computer Inc.,RS700-E10-RS12U,Oracle Java SE 16.0.1,"Java HotSpot 64-bit Server VM, version 16.0.1",252973,215468
ASUSTeK Computer Inc.,RS700A-E11-RS12U,Oracle Java SE 16.0.1,"Java HotSpot 64-bit Server VM, version 16.0.1",338796,298117
ASUSTeK Computer Inc.,RS720-E10-RS12,Oracle Java SE 17,"Java HotSpot 64-bit Server VM, version 17",255915,226936
ASUSTeK Computer Inc.,RS700A-E11-RS12U,Oracle Java SE 17.0.1,"Java HotSpot 64-bit Server VM, version 17.0.1",372676,329839
Cisco Systems,Cisco UCS C240 M5,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",155296,75071
Cisco Systems,Cisco UCS C480 M5,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",262190,97569
Cisco Systems,Cisco UCS C240 M5,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",162355,95906
Cisco Systems,Cisco UCS C245 M6,Oracle Java SE 16.0.1,"Java HotSpot 64-Bit Server VM,version 16.0.1",193086,176283
Cisco Systems,Cisco UCS C245 M6,Oracle Java SE 16.0.1,"Java HotSpot 64-Bit Server VM,version 16.0.1",334561,288551
Cisco Systems,Cisco UCS C245 M6,Oracle Java SE 16.0.1,"Java HotSpot 64-Bit Server VM,version 16.0.1",330326,293968
Cisco Systems,Cisco UCS C245 M6,Oracle Java SE 17.0.2,"Java HotSpot 64-Bit Server VM,version 17.0.2",355736,324329
Cisco Systems,Cisco UCS C245 M6,Oracle Java SE 17.0.2,"Java HotSpot 64-Bit Server VM,version 17.0.2",359971,317970
Cisco Systems,Cisco UCS C225 M6,Oracle Java SE 17.0.2,"Java HotSpot 64-Bit Server VM,version 17.0.2",225549,210511
Cisco Systems,Cisco UCS C225 M6,Oracle Java SE 17.0.2,"Java HotSpot 64-Bit Server VM,version 17.0.2",223558,211094
Dell Inc.,Dell Inc. PowerEdge R750,Oracle Java SE 17.0.2,"Java HotSpot 64-bit Server VM, version 17.0.2",232382,210414
Dell Inc.,Dell Inc. PowerEdge R750,Oracle Java SE 17.0.2,"Java HotSpot 64-bit Server VM, version 17.0.2",235324,207187
