TestSponsor,SystemName,JVMName,JVMVersion,max-jOPS,critical-jOPS
ASUSTeK Computer Inc.,RS700A-E11-RS12U,Oracle Java SE 17,"Java HotSpot 64-bit Server VM, version 17",350268,312248
ASUSTeK Computer Inc.,RS700A-E11-RS12U,Oracle Java SE 17,"Java HotSpot 64-bit Server VM, version 17",416200,153127
ASUSTeK Computer Inc.,RS700A-E11-RS12U,Oracle Java SE 17.0.4,"Java HotSpot 64-bit Server VM, version 17.0.4",515605,113864
ASUSTeK Computer Inc.,RS700A-E11-RS12U,Oracle Java SE 17.0.4,"Java HotSpot 64-bit Server VM, version 17.0.4",397601,360410
Dell Inc.,Dell Inc. PowerEdge MX750c,Oracle Java SE 17.0.2,"Java HotSpot 64-bit Server VM, version 17.0.2",218619,158096
Dell Inc.,Dell Inc. PowerEdge MX750c,Oracle Java SE 17.0.2,"Java HotSpot 64-bit Server VM, version 17.0.2",215780,164453
Dell Inc.,Dell Inc. PowerEdge R7515,Oracle Java SE 17.0.2,"Java HotSpot 64-bit Server VM, version 17.0.2",249575,85060
Dell Inc.,Dell Inc. PowerEdge R6525,Oracle Java SE 17.0.2,"Java HotSpot 64-bit Server VM, version 17.0.2",471724,175775
Dell Inc.,Dell Inc. PowerEdge MX750c,Oracle Java SE 17.0.3,"Java HotSpot 64-bit Server VM, version 17.0.3",258856,200228
Dell Inc.,Dell Inc. PowerEdge R750,Oracle Java SE 17.0.3,"Java HotSpot 64-bit Server VM, version 17.0.3",247011,203959
Dell Inc.,Dell Inc. PowerEdge R7625,Oracle Java SE 18.0.2.1,"Java HotSpot 64-bit Server VM, version 18.0.2.1",403442,189918
Dell Inc.,Dell Inc. PowerEdge R7625,Oracle Java SE 18.0.2.1,"Java HotSpot 64-bit Server VM, version 18.0.2.1",327929,311408
Dell Inc.,Dell Inc. PowerEdge R7625,Oracle Java SE 18.0.2.1,"Java HotSpot 64-bit Server VM, version 18.0.2.1",630305,599311
Dell Inc.,Dell Inc. PowerEdge R7625,Oracle Java SE 18.0.2.1,"Java HotSpot 64-bit Server VM, version 18.0.2.1",794337,356591
H3C,H3C UniServer R4900 G3,Oracle Java SE 9.0.1,"Java HotSpot 64-Bit Server VM, version 9.0.1",141360,121827
H3C,H3C UniServer R6900 G3,Oracle Java SE 9.0.4,"Java HotSpot 64-Bit Server VM, version 9.0.4",339338,120540
Hewlett Packard Enterprise,ProLiant DL360 Gen9,Oracle Java SE 8u72,"Java HotSpot 64-bit Server VM, version 1.8.0_72",106337,55858
Hewlett Packard Enterprise,ProLiant DL360 Gen9,Oracle Java SE 8u72,"Java HotSpot 64-bit Server VM, version 1.8.0_72",120674,39513
Hewlett Packard Enterprise,ProLiant DL380 Gen9,Oracle Java SE 8u74,"Java HotSpot 64-bit Server VM, version 1.8.0_74",120674,39615
Hewlett Packard Enterprise,ProLiant ML350 Gen9,Oracle Java SE 8u72,"Java HotSpot 64-bit Server VM, version 1.8.0_72",120674,38570
Hewlett Packard Enterprise,ProLiant DL580 Gen9,Oracle Java SE 8u92,"Java HotSpot 64-bit Server VM, version 1.8.0_92",189334,117045
Hewlett Packard Enterprise,ProLiant DL580 Gen9,Oracle Java SE 8u92,"Java HotSpot 64-bit Server VM, version 1.8.0_92",219406,72271
Hewlett Packard Enterprise,Synergy 480 Gen9,Oracle Java SE 8u102,"Java HotSpot 64-bit Server VM, version 1.8.0_102",94667,67214
Hewlett Packard Enterprise,Synergy 680 Gen9,Oracle Java SE 8u102,"Java HotSpot 64-bit Server VM, version 1.8.0_102",189334,136537
Hewlett Packard Enterprise,Synergy 680 Gen9,Oracle Java SE 8u102,"Java HotSpot 64-bit Server VM, version 1.8.0_102",219406,72541
Hewlett Packard Enterprise,Synergy 680 Gen9,Oracle Java SE 8u121,"Java HotSpot 64-bit Server VM, version 1.8.0_121",196434,142026
Hewlett Packard Enterprise,Synergy 680 Gen9,Oracle Java SE 8u121,"Java HotSpot 64-bit Server VM, version 1.8.0_121",227634,75399
Hewlett Packard Enterprise,ProLiant DL380 Gen10,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",173615,53463
Hewlett Packard Enterprise,ProLiant DL380 Gen10,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",141360,117883
Hewlett Packard Enterprise,Synergy 660 Gen10,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",275906,239527
Hewlett Packard Enterprise,ProLiant DL560 Gen10,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",339338,102352
Hewlett Packard Enterprise,ProLiant DL380 Gen10,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",74937,64754
Hewlett Packard Enterprise,ProLiant DL380 Gen10,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",81875,28948
Hewlett Packard Enterprise,ProLiant DL580 Gen10,Oracle Java SE 8u144,"Java HotSpot 64-bit Server VM, version 1.8.0_144",347230,60679
Hewlett Packard Enterprise,ProLiant ML350 Gen10,Oracle Java SE 8u144,"Java HotSpot 64-bit Server VM, version 1.8.0_144",141360,120771
Hewlett Packard Enterprise,ProLiant DL385 Gen10,Oracle Java SE 8u144,"Java HotSpot 64-bit Server VM, version 1.8.0_144",125650,61602
Hewlett Packard Enterprise,ProLiant DL385 Gen10,Oracle Java SE 8u144,"Java HotSpot 64-bit Server VM, version 1.8.0_144",146327,5464
Hewlett Packard Enterprise,ProLiant DL385 Gen10,Oracle Java SE 8u152,"Java HotSpot 64-bit Server VM, version 1.8.0_152",120879,77717
Hewlett Packard Enterprise,ProLiant DL385 Gen10,Oracle Java SE 8u152,"Java HotSpot 64-bit Server VM, version 1.8.0_152",150278,45677
Hewlett Packard Enterprise,ProLiant DL380 Gen10,Oracle Java SE 10.0.2,"Java HotSpot 64-bit Server VM, version 10.0.2",74937,66008
Hewlett Packard Enterprise,ProLiant DL380 Gen10,Oracle Java SE 10.0.2,"Java HotSpot 64-bit Server VM, version 10.0.2",78002,24746
Hewlett Packard Enterprise,ProLiant DL380 Gen10,Oracle Java SE 10.0.2,"Java HotSpot 64-bit Server VM, version 10.0.2",157832,47771
Hewlett Packard Enterprise,ProLiant DL380 Gen10,Oracle Java SE 10.0.2,"Java HotSpot 64-bit Server VM, version 10.0.2",77492,61783
Hewlett Packard Enterprise,ProLiant DL380 Gen10,Oracle Java SE 10.0.2,"Java HotSpot 64-bit Server VM, version 10.0.2",137954,95643
Hewlett Packard Enterprise,Synergy 480 Gen10,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",194068,69521
Hewlett Packard Enterprise,ProLiant DL380 Gen10,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",169598,136328
Hewlett Packard Enterprise,ProLiant DL560 Gen10,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",373935,27054
Hewlett Packard Enterprise,Synergy 480 Gen10,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",90930,70652
Hewlett Packard Enterprise,ProLiant DL560 Gen10,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",378668,27699
Hewlett Packard Enterprise,Synergy 660 Gen10,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",318763,266668
Hewlett Packard Enterprise,ProLiant DL325 Gen10,OpenJDK 12.0.1,"OpenJDK 64-bit Server VM, version 12.0.1",157832,118975
Hewlett Packard Enterprise,ProLiant DL325 Gen10,OpenJDK 12.0.1,"OpenJDK 64-bit Server VM, version 12.0.1",171631,27651
Hewlett Packard Enterprise,ProLiant DL385 Gen10,OpenJDK 12.0.1,OpenJDK 64-Bit Server VM version 12.0.1,307449,239476
Hewlett Packard Enterprise,ProLiant DL385 Gen10,OpenJDK 12.0.1,OpenJDK 64-Bit Server VM version 12.0.1,328007,125514
Hewlett Packard Enterprise,ProLiant DL325 Gen10 Plus,Oracle Java SE 13,"Java HotSpot 64-bit Server VM, version 13",146383,90134
Hewlett Packard Enterprise,ProLiant DL325 Gen10 Plus,Oracle Java SE 13,"Java HotSpot 64-bit Server VM, version 13",154253,43585
Hewlett Packard Enterprise,ProLiant DL385 Gen10 Plus,Oracle Java SE 13,"Java HotSpot 64-bit Server VM, version 13",296054,175936
Hewlett Packard Enterprise,ProLiant DL385 Gen10 Plus,Oracle Java SE 13,"Java HotSpot 64-bit Server VM, version 13",319609,83535
Hewlett Packard Enterprise,Superdome Flex 280,OpenJDK 15,"OpenJDK 64-bit Server VM, version 15",392868,197861
Hewlett Packard Enterprise,Superdome Flex 280,OpenJDK 15,"OpenJDK 64-bit Server VM, version 15",757336,413536
Hewlett Packard Enterprise,Superdome Flex 280,OpenJDK 15,"OpenJDK 64-bit Server VM, version 15",637526,557903
Hewlett Packard Enterprise,Superdome Flex 280,OpenJDK 15,"OpenJDK 64-bit Server VM, version 15",347369,307891
Hewlett Packard Enterprise,Superdome Flex 280,OpenJDK 15.0.2,"OpenJDK 64-bit Server VM, version 15.0.2",411801,206667
Hewlett Packard Enterprise,Superdome Flex 280,OpenJDK 15.0.2,"OpenJDK 64-bit Server VM, version 15.0.2",363716,318084
Hewlett Packard Enterprise,Superdome Flex 280,OpenJDK 15.0.2,"OpenJDK 64-bit Server VM, version 15.0.2",804669,418976
Hewlett Packard Enterprise,Superdome Flex 280,OpenJDK 15.0.2,"OpenJDK 64-bit Server VM, version 15.0.2",662046,579234
Hewlett Packard Enterprise,ProLiant DL385 Gen10 Plus v2,Oracle Java SE 15.0.2,"Java HotSpot 64-bit Server VM, version 15.0.2",407053,148625
Hewlett Packard Enterprise,ProLiant DL345 Gen10 Plus,Oracle Java SE 15.0.2,"Java HotSpot 64-bit Server VM, version 15.0.2",205814,74833
Hewlett Packard Enterprise,ProLiant DL385 Gen10 Plus v2,Oracle Java SE 17.0.2,"Java HotSpot 64-bit Server VM, version 17.0.2",488179,164621
Hewlett Packard Enterprise,ProLiant DL385 Gen10 Plus v2,Oracle Java SE 17.0.2,"Java HotSpot 64-bit Server VM, version 17.0.2",369201,345033
Hewlett Packard Enterprise,ProLiant DL325 Gen10 Plus v2,Oracle Java SE 17.0.2,"Java HotSpot 64-bit Server VM, version 17.0.2",202763,170425
Hewlett Packard Enterprise,ProLiant DL325 Gen10 Plus v2,Oracle Java SE 17.0.2,"Java HotSpot 64-bit Server VM, version 17.0.2",249575,81781
Hewlett Packard Enterprise,ProLiant DL325 Gen11,Oracle Java SE 18.0.2.1,"Java HotSpot 64-bit Server VM, version 18.0.2.1",409542,218465
Hewlett Packard Enterprise,ProLiant DL325 Gen11,Oracle Java SE 18.0.2.1,"Java HotSpot 64-bit Server VM, version 18.0.2.1",332188,315027
Hewlett Packard Enterprise,ProLiant DL385 Gen11,Oracle Java SE 18.0.2.1,"Java HotSpot 64-bit Server VM, version 18.0.2.1",621787,597953
Lenovo Global Technology,ThinkSystem SR650,Oracle Java SE 8u131,"Java HotSpot 64-Bit Server VM, version 1.8.0_131",157338,109785
Lenovo Global Technology,ThinkSystem SR650,Oracle Java SE 8u131,"Java HotSpot 64-Bit Server VM, version 1.8.0_131",175588,54893
Lenovo Global Technology,ThinkSystem SR950,Oracle Java SE 8u131,"Java HotSpot 64-Bit Server VM, version 1.8.0_131",314676,220656
