TestSponsor,SystemName,JVMName,JVMVersion,max-jOPS,critical-jOPS
ASUSTeK Computer Inc.,RS700-E10-RS12U,Oracle Java SE 16.0.1,"Java HotSpot 64-bit Server VM, version 16.0.1",282719,148229
ASUSTeK Computer Inc.,RS700A-E11-RS12U,Oracle Java SE 16.0.1,"Java HotSpot 64-bit Server VM, version 16.0.1",339338,313824
ASUSTeK Computer Inc.,RS700A-E11-RS12U,Oracle Java SE 16.0.1,"Java HotSpot 64-bit Server VM, version 16.0.1",420774,165211
ASUSTeK Computer Inc.,RS700-E10-RS12U,Oracle Java SE 16.0.1,"Java HotSpot 64-bit Server VM, version 16.0.1",269094,213195
ASUSTeK Computer Inc.,RS720-E10-RS12,Oracle Java SE 17,"Java HotSpot 64-bit Server VM, version 17",286125,152057
ASUSTeK Computer Inc.,RS700A-E11-RS12U,Oracle Java SE 17.0.1,"Java HotSpot 64-bit Server VM, version 17.0.1",388135,357221
ASUSTeK Computer Inc.,RS700A-E11-RS12U,Oracle Java SE 17.0.1,"Java HotSpot 64-bit Server VM, version 17.0.1",513161,179204
Cisco Systems,Cisco UCS C220 M4,Oracle Java SE 8u60,"Java HotSpot 64-bit Server VM, version 1.8.0_60",92463,31654
Cisco Systems,Cisco UCS C220 M4,Oracle Java SE 8u60,"Java HotSpot 64-bit Server VM, version 1.8.0_60",97551,28318
Cisco Systems,Cisco UCS C460 M4,Oracle Java SE 8u60,"Java HotSpot 64-bit Server VM, version 1.8.0_60",171642,53348
Cisco Systems,Cisco UCS C460 M4,Oracle Java SE 8u60,"Java HotSpot 64-bit Server VM, version 1.8.0_60",157832,99646
Cisco Systems,Cisco UCS C220 M4,Oracle Java SE 8u74,"Java HotSpot 64-bit Server VM, version 1.8.0_74",94667,71951
Cisco Systems,Cisco UCS C220 M4,Oracle Java SE 8u74,"Java HotSpot 64-bit Server VM, version 1.8.0_74",117931,39417
Cisco Systems,Cisco UCS C460 M4,Oracle Java SE 8u91,"Java HotSpot 64-bit Server VM, version 1.8.0_91",189334,128990
Cisco Systems,Cisco UCS C460 M4,Oracle Java SE 8u91,"Java HotSpot 64-bit Server VM, version 1.8.0_91",218425,75259
Cisco Systems,Cisco UCS C240 M5,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",179534,58094
Cisco Systems,Cisco UCS C240 M5,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",141360,118551
Cisco Systems,Cisco UCS C480 M5,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",269094,225482
Cisco Systems,Cisco UCS C480 M5,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",343284,114296
Cisco Systems,Cisco UCS C480 M5,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",351175,112800
Cisco Systems,Cisco UCS C480 M5,Oracle Java SE 8u131,"Java HotSpot 64-bit Server VM, version 1.8.0_131",272500,229029
Cisco Systems,Cisco UCS C125 M5 Rack Server Node,Oracle Java SE 10.0.2,"Java HotSpot 64-bit Server VM, version 10.0.2",77234,44545
Cisco Systems,Cisco UCS C480 M5,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",363013,137248
Cisco Systems,Cisco UCS C480 M5,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",327501,108859
Cisco Systems,Cisco UCS C240 M5,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",131141,91701
Cisco Systems,Cisco UCS C240 M5,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",171642,56027
Cisco Systems,Cisco UCS C480 M5,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",282719,175585
Cisco Systems,Cisco UCS C480 M5,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",292937,250994
Cisco Systems,Cisco UCS C240 M5,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",149875,126579
Cisco Systems,Cisco UCS C240 M5,Oracle Java SE 11.0.2,"Java HotSpot 64-bit Server VM, version 11.0.2",181507,68157
Cisco Systems,Cisco UCS C245 M6,Oracle Java SE 16.0.1,"Java HotSpot 64-Bit Server VM,version 16.0.1",327501,307324
Cisco Systems,Cisco UCS C245 M6,Oracle Java SE 16.0.1,"Java HotSpot 64-Bit Server VM,version 16.0.1",411627,194793
Cisco Systems,Cisco UCS C245 M6,Oracle Java SE 16.0.1,"Java HotSpot 64-Bit Server VM,version 16.0.1",211379,102326
Cisco Systems,Cisco UCS C245 M6,Oracle Java SE 16.0.1,"Java HotSpot 64-Bit Server VM,version 16.0.1",185453,155378
Cisco Systems,Cisco UCS C225 M6,Oracle Java SE 17.0.2,"Java HotSpot 64-Bit Server VM,version 17.0.2",186968,175561
Cisco Systems,Cisco UCS C245 M6,Oracle Java SE 17.0.2,"Java HotSpot 64-Bit Server VM,version 17.0.2",482694,219940
Cisco Systems,Cisco UCS C225 M6,Oracle Java SE 17.0.2,"Java HotSpot 64-Bit Server VM,version 17.0.2",244090,111575
Cisco Systems,Cisco UCS C245 M6,Oracle Java SE 17.0.2,"Java HotSpot 64-Bit Server VM,version 17.0.2",364468,339984
Dell Inc.,Dell Inc. PowerEdge,Oracle Java SE 8u60,"Java HotSpot 64-bit Server VM, version 1.8.0_60",94903,29033
Dell Inc.,Dell Inc. PowerEdge,Oracle Java SE 8u60,"Java HotSpot 64-bit Server VM, version 1.8.0_60",163751,40700
Dell Inc.,Dell Inc. PowerEdge,Oracle Java SE 8u60,"Java HotSpot 64-bit Server VM, version 1.8.0_60",155746,96327
Dell Inc.,Dell Inc. PowerEdge,Oracle Jave SE 8u74,"Java HotSpot 64-bit Server VM, version 1.8.0_74",116560,32273
