Tester,SystemName,Nodes,JVMVendor,CPUDescription,MHz,Chips,Cores,TotalThreads,TotalMemory,SSJ,AVG,AVGidle,Overall
ASUSTeK Computer Inc.,RS720-E9/RS8,1,Oracle Corporation,Intel Xeon Platinum 8180,2500,2,56,112,192,"5,386,401",385,48.2,"12,727"
ASUSTeK Computer Inc.,"RS720Q-E9-RS8
",4,Oracle Corporation,Intel Xeon Platinum 8176M,2100,8,224,448,768,"19,257,841","1,417",193,"11,935"
ASUSTeK Computer Inc.,RS720-E9-RS8,1,Oracle Corporation,Intel Xeon Platinum 8280L,2700,2,56,112,192,"5,862,238",412,62.4,"14,066"
ASUSTeK Computer Inc.,RS720-E9-RS8,1,Oracle Corporation,Intel Xeon Platinum 8280L,2700,2,56,112,192,"5,845,032",405,47.4,"14,274"
ASUSTeK Computer Inc.,RS500A-E10-PS4,1,Oracle,AMD EPYC 7742 2.25Ghz,2250,1,64,128,128,"6,064,779",214,51.4,"20,908"
ASUSTeK Computer Inc.,RS500A-E10-PS4,1,Oracle,AMD EPYC 7742 2.25Ghz,2250,1,64,128,128,"5,879,510",206,56.4,"21,168"
ASUSTeK Computer Inc.,RS700A-E9-RS4V2,1,Oracle,AMD EPYC 7742 2.25Ghz,2250,2,128,256,256,"11,702,137",430,106,"20,214"
ASUSTeK Computer Inc.,RS700A-E9-RS4V2,1,Oracle,AMD EPYC 7742 2.25Ghz,2250,2,128,256,256,"11,945,201",425,92.9,"20,350"
ASUSTeK Computer Inc.,"RS620SA-E10-RS12
",6,Oracle,AMD EPYC 7742 2.25Ghz,2250,6,384,768,768,"36,876,127","1,140",228,"24,238"
ASUSTeK Computer Inc.,"RS620SA-E10-RS12
",6,Oracle,AMD EPYC 7742 2.25Ghz,2250,6,384,768,768,"36,645,962","1,141",250,"24,507"
ASUSTeK Computer Inc.,RS720-E10-R12,1,Oracle Corporation,Intel Xeon Platinum 8380,2300,2,80,160,256,"8,962,178",623,110,"13,600"
ASUSTeK Computer Inc.,RS700A-E11-RS4U,1,Oracle Corporation,AMD EPYC 7763,2450,2,128,256,256,"12,199,307",408,94.6,"25,252"
ASUSTeK Computer Inc.,RS700A-E11-RS4U,1,Oracle Corporation,AMD EPYC 7763,2450,2,128,256,256,"12,304,385",406,122,"25,302"
"ASUSTeK Computer Inc.
","ASUS RS160-E5 (Intel Xeon L5430 Processor, 2.66 GHz)",1,Oracle Corporation,Intel Xeon L5430,2666,2,8,8,8,"278,927",173,89.4,"1,020"
